_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
6451,ET,80,2011-01
6452,NY,136,2011-01
6453,SC,159,2011-01
6454,TO,367,2011-01
6455,ET,109,2011-02
6456,NY,150,2011-02
6457,SC,154,2011-02
6458,TO,383,2011-02
6459,ET,177,2011-03
6460,NY,231,2011-03
6461,SC,213,2011-03
6462,TO,589,2011-03
6463,ET,178,2011-04
6464,NY,277,2011-04
6465,SC,261,2011-04
6466,TO,660,2011-04
6467,ET,263,2011-05
6468,NY,376,2011-05
6469,SC,375,2011-05
6470,TO,871,2011-05
6471,ET,255,2011-06
6472,NY,365,2011-06
6473,SC,334,2011-06
6474,TO,870,2011-06
6475,ET,238,2011-07
6476,NY,364,2011-07
6477,SC,352,2011-07
6478,TO,989,2011-07
6479,ET,257,2011-08
6480,NY,366,2011-08
6481,SC,345,2011-08
6482,TO,965,2011-08
6483,ET,152,2011-09
6484,NY,255,2011-09
6485,SC,276,2011-09
6486,TO,638,2011-09
6487,ET,126,2011-10
6488,NY,201,2011-10
6489,SC,218,2011-10
6490,TO,468,2011-10
6491,ET,103,2011-11
6492,NY,191,2011-11
6493,SC,182,2011-11
6494,TO,340,2011-11
6495,ET,109,2011-12
6496,NY,171,2011-12
6497,SC,149,2011-12
6498,TO,356,2011-12
6499,ET,115,2012-01
6500,NY,176,2012-01
6501,SC,171,2012-01
6502,TO,440,2012-01
6503,ET,134,2012-02
6504,NY,195,2012-02
6505,SC,160,2012-02
6506,TO,390,2012-02
6507,ET,183,2012-03
6508,NY,234,2012-03
6509,SC,243,2012-03
6510,TO,567,2012-03
6511,ET,194,2012-04
6512,NY,225,2012-04
6513,SC,252,2012-04
6514,TO,561,2012-04
6515,ET,217,2012-05
6516,NY,294,2012-05
6517,SC,332,2012-05
6518,TO,807,2012-05
6519,ET,262,2012-06
6520,NY,353,2012-06
6521,SC,340,2012-06
6522,TO,888,2012-06
6523,ET,269,2012-07
6524,NY,404,2012-07
6525,SC,371,2012-07
6526,TO,971,2012-07
6527,ET,251,2012-08
6528,NY,353,2012-08
6529,SC,346,2012-08
6530,TO,980,2012-08
6531,ET,132,2012-09
6532,NY,233,2012-09
6533,SC,215,2012-09
6534,TO,563,2012-09
6535,ET,156,2012-10
6536,NY,208,2012-10
6537,SC,215,2012-10
6538,TO,486,2012-10
6539,ET,85,2012-11
6540,NY,180,2012-11
6541,SC,170,2012-11
6542,TO,391,2012-11
6543,ET,99,2012-12
6544,NY,163,2012-12
6545,SC,158,2012-12
6546,TO,365,2012-12
6547,ET,91,2013-01
6548,NY,169,2013-01
6549,SC,138,2013-01
6550,TO,365,2013-01
6551,ET,90,2013-02
6552,NY,163,2013-02
6553,SC,126,2013-02
6554,TO,346,2013-02
6555,ET,130,2013-03
6556,NY,217,2013-03
6557,SC,188,2013-03
6558,TO,455,2013-03
6559,ET,177,2013-04
6560,NY,298,2013-04
6561,SC,219,2013-04
6562,TO,666,2013-04
6563,ET,223,2013-05
6564,NY,310,2013-05
6565,SC,300,2013-05
6566,TO,748,2013-05
6567,ET,212,2013-06
6568,NY,286,2013-06
6569,SC,303,2013-06
6570,TO,778,2013-06
6571,ET,258,2013-07
6572,NY,450,2013-07
6573,SC,319,2013-07
6574,TO,972,2013-07
6575,ET,244,2013-08
6576,NY,324,2013-08
6577,SC,322,2013-08
6578,TO,931,2013-08
6579,ET,157,2013-09
6580,NY,232,2013-09
6581,SC,233,2013-09
6582,TO,607,2013-09
6583,ET,121,2013-10
6584,NY,163,2013-10
6585,SC,208,2013-10
6586,TO,448,2013-10
6587,ET,92,2013-11
6588,NY,162,2013-11
6589,SC,140,2013-11
6590,TO,315,2013-11
6591,ET,89,2013-12
6592,NY,146,2013-12
6593,SC,130,2013-12
6594,TO,314,2013-12
6595,ET,85,2014-01
6596,NY,186,2014-01
6597,SC,139,2014-01
6598,TO,375,2014-01
6599,ET,93,2014-02
6600,NY,134,2014-02
6601,SC,126,2014-02
6602,TO,364,2014-02
6603,ET,151,2014-03
6604,NY,201,2014-03
6605,SC,180,2014-03
6606,TO,530,2014-03
6607,ET,151,2014-04
6608,NY,240,2014-04
6609,SC,229,2014-04
6610,TO,674,2014-04
6611,ET,219,2014-05
6612,NY,318,2014-05
6613,SC,298,2014-05
6614,TO,847,2014-05
6615,ET,240,2014-06
6616,NY,309,2014-06
6617,SC,315,2014-06
6618,TO,942,2014-06
6619,ET,252,2014-07
6620,NY,348,2014-07
6621,SC,338,2014-07
6622,TO,1024,2014-07
6623,ET,239,2014-08
6624,NY,351,2014-08
6625,SC,288,2014-08
6626,TO,967,2014-08
6627,ET,169,2014-09
6628,NY,228,2014-09
6629,SC,225,2014-09
6630,TO,658,2014-09
6631,ET,126,2014-10
6632,NY,180,2014-10
6633,SC,206,2014-10
6634,TO,489,2014-10
6635,ET,77,2014-11
6636,NY,138,2014-11
6637,SC,111,2014-11
6638,TO,347,2014-11
6639,ET,109,2014-12
6640,NY,162,2014-12
6641,SC,157,2014-12
6642,TO,357,2014-12
6643,ET,123,2015-01
6644,NY,140,2015-01
6645,SC,149,2015-01
6646,TO,327,2015-01
6647,ET,108,2015-02
6648,NY,159,2015-02
6649,SC,130,2015-02
6650,TO,333,2015-02
6651,ET,155,2015-03
6652,NY,224,2015-03
6653,SC,222,2015-03
6654,TO,559,2015-03
6655,ET,149,2015-04
6656,NY,273,2015-04
6657,SC,257,2015-04
6658,TO,665,2015-04
6659,ET,245,2015-05
6660,NY,307,2015-05
6661,SC,306,2015-05
6662,TO,805,2015-05
6663,ET,268,2015-06
6664,NY,386,2015-06
6665,SC,346,2015-06
6666,TO,927,2015-06
6667,ET,317,2015-07
6668,NY,387,2015-07
6669,SC,390,2015-07
6670,TO,1090,2015-07
6671,ET,264,2015-08
6672,NY,336,2015-08
6673,SC,325,2015-08
6674,TO,930,2015-08
6675,ET,174,2015-09
6676,NY,251,2015-09
6677,SC,253,2015-09
6678,TO,713,2015-09
6679,ET,135,2015-10
6680,NY,211,2015-10
6681,SC,186,2015-10
6682,TO,478,2015-10
6683,ET,91,2015-11
6684,NY,176,2015-11
6685,SC,149,2015-11
6686,TO,342,2015-11
6687,ET,104,2015-12
6688,NY,169,2015-12
6689,SC,144,2015-12
6690,TO,335,2015-12
6691,ET,92,2016-01
6692,NY,156,2016-01
6693,SC,131,2016-01
6694,TO,346,2016-01
6695,ET,123,2016-02
6696,NY,170,2016-02
6697,SC,173,2016-02
6698,TO,364,2016-02
6699,ET,155,2016-03
6700,NY,197,2016-03
6701,SC,204,2016-03
6702,TO,517,2016-03
6703,ET,197,2016-04
6704,NY,257,2016-04
6705,SC,246,2016-04
6706,TO,695,2016-04
6707,ET,247,2016-05
6708,NY,326,2016-05
6709,SC,306,2016-05
6710,TO,895,2016-05
6711,ET,255,2016-06
6712,NY,344,2016-06
6713,SC,341,2016-06
6714,TO,1071,2016-06
6715,ET,274,2016-07
6716,NY,384,2016-07
6717,SC,348,2016-07
6718,TO,1041,2016-07
6719,ET,296,2016-08
6720,NY,358,2016-08
6721,SC,333,2016-08
6722,TO,1072,2016-08
6723,ET,228,2016-09
6724,NY,265,2016-09
6725,SC,207,2016-09
6726,TO,656,2016-09
6727,ET,139,2016-10
6728,NY,187,2016-10
6729,SC,171,2016-10
6730,TO,489,2016-10
6731,ET,82,2016-11
6732,NY,148,2016-11
6733,SC,135,2016-11
6734,TO,388,2016-11
6735,ET,96,2016-12
6736,NY,164,2016-12
6737,SC,125,2016-12
6738,TO,362,2016-12
6739,ET,102,2017-01
6740,NY,146,2017-01
6741,SC,147,2017-01
6742,TO,347,2017-01
6743,ET,104,2017-02
6744,NY,170,2017-02
6745,SC,139,2017-02
6746,TO,357,2017-02
6747,ET,183,2017-03
6748,NY,237,2017-03
